id	raw_category	category	count	nyu40id	eigen13id	nyuClass	nyu40class	eigen13class	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey
59	microwave	microwave	141	40	7	microwave	otherprop	Objects			microwave	3761084	n03761084	microwave.n.02
159	kitchen counter	kitchen counter	140	12	6	counter	counter	Furniture	table	table	table	4379243	n03116530	counter.n.01
74	sofa chair	sofa chair	129	5	4	chair	chair	Chair	chair	chair	chair	3001627	n03001627	chair.n.01
82	paper towel dispenser	paper towel dispenser	129	40	7	paper towel dispenser	otherprop	Objects						
1164	bathroom vanity	bathroom vanity	126	3	6	cabinet	cabinet	Furniture			cabinet	2933112	n02933112	cabinet.n.01
93	suitcase	suitcase	118	40	7	luggage	otherprop	Objects						
77	laptop	laptop	111	40	7	laptop	otherprop	Objects	laptop		laptop	3642806	n03642806	laptop.n.01
67	ottoman	ottoman	111	39	6	ottoman	otherfurniture	Furniture	stool				n03380724	footstool.n.01
128	shower walls	shower wall	109	1	12	wall	wall	Wall					n04546855	wall.n.01
50	printer	printer	106	40	7	printer	otherprop	Objects			printer	4004475	n04004475	printer.n.03
35	counter	counter	104	12	6	counter	counter	Furniture	table	table	table	4379243	n03116530	counter.n.01
69	board	board	100	38	7	board	otherstructure	Objects						
100	soap dispenser	soap dispenser	99	40	7		otherprop	Objects					n04254120	soap_dispenser.n.01
62	stove	stove	95	38	7	stove	otherstructure	Objects			stove	4330267	n04330267	stove.n.02
105	light	light	93	38	7	light	otherstructure	Objects					n03665366	light.n.02
1165	closet wall	closet wall	90	1	12	wall	wall	Wall					n04546855	wall.n.01
165	mini fridge	mini fridge	87	24	6	refridgerator	refridgerator	Furniture					n03273913	electric_refrigerator.n.01
7	cabinets	cabinet	79	3	6	cabinet	cabinet	Furniture			cabinet	2933112	n02933112	cabinet.n.01
5	doors	door	76	8	12	door	door	Wall	door				n03221720	door.n.01
76	fan	fan	75	40	7	fan	otherprop	Objects					n03320046	fan.n.01
230	tissue box	tissue box	73	40	7	tissue box	otherprop	Objects						
54	blanket	blanket	72	40	7	blanket	otherprop	Objects					n02849154	blanket.n.01
125	bathroom stall	bathroom stall	71	38	7		otherstructure	Objects					n02873839	booth.n.02
72	copier	copier	70	40	7		otherprop	Objects					n03257586	duplicator.n.01
68	bench	bench	66	39	6	bench	otherfurniture	Furniture	bench		bench	2828884	n02828884	bench.n.01
145	bar	bar	66	38	7	bar	otherstructure	Objects					n02788689	bar.n.03
157	soap dish	soap dish	65	40	7	soap dish	otherprop	Objects					n04254009	soap_dish.n.01
1166	laundry hamper	laundry hamper	65	40	7	laundry basket	otherprop	Objects						
132	storage bin	storage bin	63	40	7	storage bin	otherprop	Objects						
1167	bathroom stall door	bathroom stall door	62	8	12	door	door	Wall	door				n03221720	door.n.01
232	light switch	light switch	61	38	7	light switch	otherstructure	Objects						
134	coffee maker	coffee maker	61	40	7		otherprop	Objects					n03063338	coffee_maker.n.01
51	tv stand	tv stand	61	39	6	tv stand	otherfurniture	Furniture	tv_stand				n03290653	entertainment_center.n.01
250	decoration	decoration	60	40	7		otherprop	Objects					n03169390	decoration.n.01
1168	ceiling light	ceiling light	59	38	7	light	otherstructure	Objects					n03665366	light.n.02
342	range hood	range hood	59	38	7	range hood	otherstructure	Objects	range_hood				n04053677	range_hood.n.01
89	blackboard	blackboard	58	38	7	blackboard	otherstructure	Objects					n02846511	blackboard.n.01
103	clock	clock	58	40	7	clock	otherprop	Objects			clock	3046257	n03046257	clock.n.01
99	wardrobe closet	wardrobe	54	39	6	wardrobe	otherfurniture	Furniture	wardrobe				n04550184	wardrobe.n.01
95	rail	rail	53	38	7	railing	otherstructure	Objects						
154	bulletin board	bulletin board	53	38	7	board	otherstructure	Objects						
140	mat	mat	52	20	5	floor mat	floor mat	Floor					n03727837	mat.n.01
1169	trash bin	trash bin	52	39	6	garbage bin	otherfurniture	Furniture			trash_bin	2747177	n02747177	ashcan.n.01
193	ledge	ledge	51	38	7		otherstructure	Objects					n09337253	ledge.n.01
116	seat	seat	49	39	6	furniture	otherfurniture	Furniture					n04161981	seat.n.03
202	mouse	mouse	49	40	7	mouse	otherprop	Objects					n03793489	mouse.n.04
73	basket	basket	48	40	7	basket	otherprop	Objects			basket	2801938	n02801938	basket.n.01
78	shower	shower	48	38	7		otherstructure	Objects					n04208936	shower.n.01
1170	dumbbell	dumbbell	48	40	7		otherprop	Objects						
79	paper	paper	46	26	7	paper	paper	Objects					n14974264	paper.n.01
80	person	person	46	31	7	person	person	Objects	person				n05217688	person.n.02
141	windowsill	windowsill	45	38	7		otherstructure	Objects					n04590263	windowsill.n.01
57	closet	closet	45	39	6	wardrobe	otherfurniture	Furniture	wardrobe					
102	bucket	bucket	45	40	7	bucket	otherprop	Objects					n02909870	bucket.n.01
261	sign	sign	44	40	7	sign	otherprop	Objects					n04217882	signboard.n.01
118	speaker	speaker	43	40	7	speaker	otherprop	Objects			speaker	3691459	n03691459	loudspeaker.n.01
136	dishwasher	dishwasher	43	38	7	dishwasher	otherstructure	Objects			dishwasher	3207941	n03207941	dishwasher.n.01
98	container	container	43	40	7	container	otherprop	Objects					n03094503	container.n.01
1171	stair rail	stair rail	42	38	7	banister	otherstructure	Objects					n02788148	bannister.n.02
170	shower curtain rod	shower curtain rod	42	40	7		otherprop	Objects						
1172	tube	tube	41	40	7		otherprop	Objects						
1173	bathroom cabinet	bathroom cabinet	39	3	6	cabinet	cabinet	Furniture			cabinet	2933112	n02933112	cabinet.n.01
79	papers	paper	39	26	7	paper	paper	Objects					n14974264	paper.n.01
221	storage container	storage container	39	40	7	container	otherprop	Objects						
570	paper bag	paper bag	39	37	7	bag	bag	Objects					n04122825	sack.n.01
138	paper towel roll	paper towel roll	39	40	7	paper towel	otherprop	Objects					n03887697	paper_towel.n.01
168	ball	ball	39	40	7	ball	otherprop	Objects						
276	closet doors	closet door	38	8	12	door	door	Wall	door				n03221720	door.n.01
106	laundry basket	laundry basket	37	40	7	laundry basket	otherprop	Objects			basket	2801938	n03050864	clothes_hamper.n.01
214	cart	cart	37	40	7	cart	otherprop	Objects					n03484083	handcart.n.01
276	closet door	closet door	35	8	12	door	door	Wall	door					
323	dish rack	dish rack	35	40	7	dish rack	otherprop	Objects					n03207630	dish_rack.n.01
58	stairs	stairs	35	38	7	stairs	otherstructure	Objects					n04298308	stairway.n.01
86	blinds	blinds	35	13	13	blinds	blinds	Window					n02851099	blind.n.03
2	stack of chairs	chair	35	40	7		otherprop	Objects						
399	purse	purse	34	40	7	purse	otherprop	Objects					n02774152	bag.n.04
121	bicycle	bicycle	33	40	7	bicycle	otherprop	Objects			bicycle	2834778	n02834778	bicycle.n.01
185	tray	tray	32	40	7	tray	otherprop	Objects					n04476259	tray.n.01
300	plunger	plunger	30	40	7		otherprop	Objects					n03970156	plunger.n.03
180	paper cutter	paper cutter	30	40	7	paper cutter	otherprop	Objects					n03886940	paper_cutter.n.01
163	toilet paper dispenser	toilet paper dispenser	29	40	7		otherprop	Objects						
26	boxes	box	29	29	7	box	box	Objects					n02883344	box.n.01
66	bin	bin	28	40	7	bin	otherprop	Objects					n02839910	bin.n.01
208	toilet seat cover dispenser	toilet seat cover dispenser	28	40	7		otherprop	Objects						
112	guitar	guitar	28	40	7	guitar	otherprop	Objects	guitar		guitar	3467517	n03467517	guitar.n.01
540	mailboxes	mailbox	28	29	7	box	box	Objects			mailbox	3710193	n03710193	mailbox.n.01
395	handicap bar	handicap bar	27	38	7	bar	otherstructure	Objects						
166	fire extinguisher	fire extinguisher	27	40	7	fire extinguisher	otherprop	Objects					n03345837	fire_extinguisher.n.01
122	ladder	ladder	27	39	6	ladder	otherfurniture	Furniture	stairs				n03632277	ladder.n.01
120	column	column	26	38	7	column	otherstructure	Objects					n03074380	column.n.06
107	pipe	pipe	25	40	7	pipe	otherprop	Objects						
283	vacuum cleaner	vacuum cleaner	25	40	7		otherprop	Objects						
88	plate	plate	24	40	7	plate	otherprop	Objects					n03959485	plate.n.04
90	piano	piano	24	39	6	piano	otherfurniture	Furniture	piano		piano	3928116	n03928116	piano.n.01
177	water cooler	water cooler	24	39	6	water cooler	otherfurniture	Furniture					n04559166	water_cooler.n.01
1174	cd case	cd case	24	40	7		otherprop	Objects						
562	bowl	bowl	24	40	7	bowl	otherprop	Objects	bowl		bowl	2880940	n02880940	bowl.n.03
1175	closet rod	closet rod	24	40	7		otherprop	Objects						
1156	bathroom counter	bathroom counter	24	12	6	counter	counter	Furniture	table	table	table	4379243	n03116530	counter.n.01
84	oven	oven	23	38	7	oven	otherstructure	Objects					n03862676	oven.n.01
104	stand	stand	23	39	6	stand	otherfurniture	Furniture	table	table	table	4379243	n04301000	stand.n.04
229	scale	scale	23	40	7	scale	otherprop	Objects					n04141975	scale.n.07
70	washing machine	washing machine	23	39	6	washing machine	otherfurniture	Furniture			washing_machine	4554684	n04554684	washer.n.03
325	broom	broom	22	40	7	broom	otherprop	Objects					n02906734	broom.n.01
169	hat	hat	22	40	7	hat	otherprop	Objects					n03497657	hat.n.01
128	shower wall	shower wall	22	1	12	wall	wall	Wall						
331	guitar case	guitar case	21	40	7	guitar case	otherprop	Objects						
87	rack	rack	21	39	6	stand	otherfurniture	Furniture					n04038440	rack.n.05
488	water pitcher	water pitcher	21	40	7	pitcher	otherprop	Objects					n03950228	pitcher.n.02
776	laundry detergent	laundry detergent	21	40	7		otherprop	Objects						
370	hair dryer	hair dryer	21	40	7	hair dryer	otherprop	Objects					n03483316	hand_blower.n.01
191	pillar	pillar	21	38	7	column	otherstructure	Objects					n03073977	column.n.07
748	divider	divider	20	40	7		otherprop	Objects						
242	power outlet	power outlet	19	40	7		otherprop	Objects						
45	dining table	dining table	19	7	10	table	table	Table	table	table	table	4379243	n04379243	table.n.02
417	shower floor	shower floor	19	2	5	floor	floor	Floor						
70	washing machines	washing machine	19	39	6	washing machine	otherfurniture	Furniture			washing_machine	4554684	n04554684	washer.n.03
188	shower door	shower door	19	8	12	door	door	Wall	door					
1176	coffee kettle	coffee kettle	18	40	7	pot	otherprop	Objects					n03612814	kettle.n.01
1177	wardrobe cabinet	wardrobe 	18	39	6	wardrobe	otherfurniture	Furniture	wardrobe				n04550184	wardrobe.n.01
1178	structure	structure	18	38	7		otherstructure	Objects						
18	bookshelves	bookshelf	17	10	6	bookshelf	bookshelf	Furniture	bookshelf		bookshelf	2871439	n02871439	bookshelf.n.01
110	clothes dryer	clothes dryer	17	39	6		otherfurniture	Furniture					n03251766	dryer.n.01
148	toaster	toaster	17	40	7	toaster	otherprop	Objects					n04442312	toaster.n.02
63	shoe	shoe	17	40	7	shoe	otherprop	Objects					n04199027	shoe.n.01
155	ironing board	ironing board	16	39	6	ironing board	otherfurniture	Furniture					n03586090	ironing_board.n.01
572	alarm clock	alarm clock	16	40	7	alarm clock	otherprop	Objects			clock	3046257	n02694662	alarm_clock.n.01
1179	shower head	shower head	15	38	7		otherstructure	Objects						
28	lamp base	lamp	15	35	7	lamp	lamp	Objects	lamp		lamp	3636649	n03636649	lamp.n.02
392	water bottle	water bottle	15	40	7	bottle	otherprop	Objects	bottle		bottle	2876657	n04557648	water_bottle.n.01
1180	keyboard piano	keyboard piano	15	39	6	piano	otherfurniture	Furniture	piano		piano	3928116	n03928116	piano.n.01
609	projector screen	projector screen	15	38	7	projector screen	otherstructure	Objects						
1181	case of water bottles	case of water bottles	15	40	7		otherprop	Objects						
195	toaster oven	toaster oven	14	40	7	toaster oven	otherprop	Objects					n04442441	toaster_oven.n.01
581	music stand	music stand	14	39	6	music stand	otherfurniture	Furniture					n03801760	music_stand.n.01
58	staircase	stairs	14	38	7	stairs	otherstructure	Objects					n04298308	stairway.n.01
1182	coat rack	coat rack	14	40	7		otherprop	Objects					n03059103	coatrack.n.01
1183	storage organizer	storage organizer	14	40	7		otherprop	Objects						
139	machine	machine	14	40	7	machine	otherprop	Objects					n03699975	machine.n.01
1184	folded chair	folded chair	14	5	4	chair	chair	Chair	chair	chair	chair	3001627	n03001627	chair.n.01
1185	fire alarm	fire alarm	14	40	7		otherprop	Objects						
156	fireplace	fireplace	13	38	7	fireplace	otherstructure	Objects					n03346455	fireplace.n.01
408	vent	vent	13	40	7		otherprop	Objects						
213	furniture	furniture	13	39	6	furniture	otherfurniture	Furniture					n03405725	furniture.n.01
1186	power strip	power strip	13	40	7		otherprop	Objects						
1187	calendar	calendar	13	40	7		otherprop	Objects						
1188	poster	poster	13	11	8	picture	picture	Picture					n03931044	picture.n.01
115	toilet paper holder	toilet paper holder	13	40	7	toilet paper holder	otherprop	Objects						
1189	potted plant	potted plant	12	40	7	plant	otherprop	Objects	plant				n00017222	plant.n.02
304	stuffed animal	stuffed animal	12	40	7	stuffed animal	otherprop	Objects						
1190	luggage	luggage	12	40	7	luggage	otherprop	Objects					n02774630	baggage.n.01
21	curtains	curtain	12	16	13	curtain	curtain	Window	curtain					
312	headphones	headphones	12	40	7		otherprop	Objects						
233	crate	crate	12	39	6	crate	otherfurniture	Furniture					n03127925	crate.n.01
286	candle	candle	12	40	7	candle	otherprop	Objects	lamp				n02948072	candle.n.01
264	projector	projector	12	40	7	projector	otherprop	Objects					n04009552	projector.n.02
110	clothes dryers	clothes dryer	12	39	6		otherfurniture	Furniture					n03251766	dryer.n.01
1191	mattress	mattress	12	4	1	bed	bed	Bed	bed	bed	bed	2818832	n02818832	bed.n.01
356	dustpan	dustpan	12	40	7		otherprop	Objects					n03259009	dustpan.n.02
25	drawer	drawer	11	39	6	drawer	otherfurniture	Furniture					n03233905	drawer.n.01
750	rod	rod	11	40	7		otherprop	Objects			pistol	3948459	n03427202	gat.n.01
269	globe	globe	11	40	7	globe	otherprop	Objects						
307	footrest	footrest	11	39	6	foot rest	otherfurniture	Furniture	stool				n03380724	footstool.n.01
410	piano bench	piano bench	11	39	6	piano bench	otherfurniture	Furniture	bench		bench	2828884	n02828884	bench.n.01
730	breakfast bar	breakfast bar	11	38	7	bar	otherstructure	Objects						
216	step stool	step stool	11	40	7	step stool	otherprop	Objects	stool				n04315713	step_stool.n.01
1192	hand rail	hand rail	11	38	7	railing	otherstructure	Objects						
119	vending machine	vending machine	11	40	7	machine	otherprop	Objects					n04525305	vending_machine.n.01
682	ceiling fan	ceiling fan	11	40	7	fan	otherprop	Objects						
434	swiffer	swiffer	11	40	7		otherprop	Objects						
126	foosball table	foosball table	11	39	6	foosball table	otherfurniture	Furniture	table	table	table	4379243	n04379243	table.n.02
919	jar	jar	11	40	7	jar	otherprop	Objects			jar	3593526	n03593526	jar.n.01
85	footstool	footstool	11	39	6	ottoman	otherfurniture	Furniture	stool				n03380724	footstool.n.01
1193	folded table	folded table	10	7	10	table	table	Table	table	table	table	4379243	n04379243	table.n.02
108	round table	round table	10	7	10	table	table	Table	table	table	table	4379243	n04114554	round_table.n.02
135	hamper	hamper	10	40	7	basket	otherprop	Objects			basket	2801938	n03482405	hamper.n.02
1194	poster tube	poster tube	10	40	7		otherprop	Objects						
432	case	case	10	40	7	case	otherprop	Objects						
53	carpet	carpet	10	40	7	rug	otherprop	Objects					n04118021	rug.n.01
1195	thermostat	thermostat	10	40	7		otherprop	Objects						
111	coat	coat	10	40	7	jacket	otherprop	Objects					n03057021	coat.n.01
305	water fountain	water fountain	10	38	7	water fountain	otherstructure	Objects					n03241335	drinking_fountain.n.01
1125	smoke detector	smoke detector	10	40	7		otherprop	Objects						
13	pillows	pillow	9	18	7	pillow	pillow	Objects			pillow	3938244	n03938244	pillow.n.01
1196	flip flops	flip flops	9	40	7	shoe	otherprop	Objects					n04199027	shoe.n.01
1197	cloth	cloth	9	21	7	clothes	clothes	Objects					n02728440	apparel.n.01
1198	banner	banner	9	40	7		otherprop	Objects						
1199	clothes hanger	clothes hanger	9	40	7		otherprop	Objects						
1200	whiteboard eraser	whiteboard eraser	9	40	7		otherprop	Objects						
378	iron	iron	9	40	7		otherprop	Objects					n03584829	iron.n.04
591	instrument case	instrument case	9	40	7	case	otherprop	Objects						
49	toilet paper rolls	toilet paper	9	40	7	toilet paper	otherprop	Objects					n15075141	toilet_tissue.n.01
92	soap	soap	9	40	7	soap	otherprop	Objects						
1098	block	block	9	40	7		otherprop	Objects						
291	wall hanging	wall hanging	8	40	7		otherprop	Objects					n03491178	hanging.n.01
1063	kitchen island	kitchen island	8	38	7	kitchen island	otherstructure	Objects					n03620600	kitchen_island.n.01
107	pipes	pipe	8	38	7		otherstructure	Objects						
1135	toothbrush	toothbrush	8	40	7	toothbrush	otherprop	Objects					n04453156	toothbrush.n.01
189	shirt	shirt	8	40	7		otherprop	Objects					n04197391	shirt.n.01
245	cutting board	cutting board	8	40	7	cutting board	otherprop	Objects					n03025513	chopping_board.n.01
194	vase	vase	8	40	7	vase	otherprop	Objects	vase		jar	3593526	n04522168	vase.n.01
1201	shower control valve	shower control valve	8	38	7		otherstructure	Objects					n04208936	shower.n.01
386	exercise machine	exercise machine	8	40	7	machine	otherprop	Objects						
1202	compost bin	compost bin	8	39	6	garbage bin	otherfurniture	Furniture			trash_bin	2747177	n02747177	ashcan.n.01
857	shorts	shorts	8	40	7	shorts	otherprop	Objects					n04204755	short_circuit.n.01
452	tire	tire	8	40	7		otherprop	Objects					n04440749	tire.n.01
1203	teddy bear	teddy bear	7	40	7	stuffed animal	otherprop	Objects						
346	bathrobe	bathrobe	7	40	7		otherprop	Objects					n02807616	bathrobe.n.01
152	handrail	handrail	7	38	7	railing	otherstructure	Objects						
83	faucet	faucet	7	40	7	faucet	otherprop	Objects			faucet	3325088	n03325088	faucet.n.01
1204	pantry wall	pantry wall	7	1	12	wall	wall	Wall					n04546855	wall.n.01
726	thermos	thermos	7	40	7	flask	otherprop	Objects	bottle		bottle	2876657	n04422727	thermos.n.01
61	rug	rug	7	40	7	rug	otherprop	Objects					n04118021	rug.n.01
39	couch cushions	cushion	7	18	7	pillow	pillow	Objects					n03151500	cushion.n.03
1117	tripod	tripod	7	39	6	stand	otherfurniture	Furniture					n04485082	tripod.n.01
540	mailbox	mailbox	7	29	7	box	box	Objects			mailbox	3710193	n03710193	mailbox.n.01
1205	tupperware	tupperware	7	40	7		otherprop	Objects						
415	shoe rack	shoe rack	7	40	7	shoe rack	otherprop	Objects						
31	towels	towel	6	27	7	towel	towel	Objects					n04459362	towel.n.01
1206	beer bottles	beer bottle	6	40	7	bottle	otherprop	Objects	bottle		bottle	2876657	n02876657	bottle.n.01
153	treadmill	treadmill	6	39	6	treadmill	otherfurniture	Furniture					n04477387	treadmill.n.01
1207	salt	salt	6	40	7		otherprop	Objects						
129	chest	chest	6	39	6	chest	otherfurniture	Furniture	dresser	dresser				
220	dispenser	dispenser	6	40	7		otherprop	Objects					n03210683	dispenser.n.01
1208	mirror doors	mirror door	6	8	12	door	door	Wall	door				n03221720	door.n.01
231	remote	remote	6	40	7		otherprop	Objects			remote_control	4074963	n04074963	remote_control.n.01
1209	folded ladder	folded ladder	6	39	6	ladder	otherfurniture	Furniture	stairs				n03632277	ladder.n.01
39	cushion	cushion	6	18	7	pillow	pillow	Objects					n03151500	cushion.n.03
1210	carton	carton	6	40	7		otherprop	Objects						
117	step	step	6	38	7		otherstructure	Objects					n04314914	step.n.04
822	drying rack	drying rack	6	39	6	drying rack	otherfurniture	Furniture						
238	slippers	slipper	6	40	7	shoe	otherprop	Objects					n04199027	shoe.n.01
143	pool table	pool table	6	39	6	pool table	otherfurniture	Furniture	table	table	table	4379243	n03982430	pool_table.n.01
1211	soda stream	soda stream	6	40	7		otherprop	Objects						
228	toilet brush	toilet brush	6	40	7	toilet brush	otherprop	Objects						
494	loft bed	loft bed	6	4	1	bed	bed	Bed	bed	bed	bed	2818832	n02818832	bed.n.01
226	cooking pot	cooking pot	6	40	7	pot	otherprop	Objects						
91	heater	heater	6	39	6	heater	otherfurniture	Furniture					n03508101	heater.n.01
1072	messenger bag	messenger bag	6	37	7	bag	bag	Objects						
435	stapler	stapler	6	40	7	stapler	otherprop	Objects					n04303497	stapler.n.01
1165	closet walls	closet wall	5	1	12	wall	wall	Wall					n04546855	wall.n.01
345	scanner	scanner	5	40	7		otherprop	Objects						
893	elliptical machine	elliptical machine	5	40	7	machine	otherprop	Objects						
621	kettle	kettle	5	40	7	pot	otherprop	Objects					n03612814	kettle.n.01
1212	metronome	metronome	5	40	7		otherprop	Objects						
297	dumbell	dumbell	5	40	7		otherprop	Objects						
1213	music book	music book	5	23	2	book	books	Books					n02870526	book.n.11
1214	rice cooker	rice cooker	5	40	7		otherprop	Objects						
1215	dart board	dart board	5	38	7	board	otherstructure	Objects						
529	sewing machine	sewing machine	5	40	7	sewing machine	otherprop	Objects					n04179913	sewing_machine.n.01
1216	grab bar	grab bar	5	38	7	railing	otherstructure	Objects						
1217	flowerpot	flowerpot	5	40	7	vase	otherprop	Objects	vase		jar	3593526	n04522168	vase.n.01
1218	painting	painting	5	11	8	picture	picture	Picture					n03931044	picture.n.01
1219	railing	railing	5	38	7	railing	otherstructure	Objects						
1220	stair	stair	5	38	7	stairs	otherstructure	Objects	stairs				n04314914	step.n.04
525	toolbox	toolbox	5	39	6	chest	otherfurniture	Furniture					n04452615	toolbox.n.01
204	nerf gun	nerf gun	5	40	7		otherprop	Objects						
693	binders	binder	5	40	7	binder	otherprop	Objects						
179	desk lamp	desk lamp	5	35	7	lamp	lamp	Objects	lamp		lamp	3636649	n03636649	lamp.n.02
1221	quadcopter	quadcopter	5	40	7		otherprop	Objects						
1222	pitcher	pitcher	5	40	7	pitcher	otherprop	Objects					n03950228	pitcher.n.02
1223	hanging	hanging	5	40	7		otherprop	Objects						
1224	mail	mail	5	40	7		otherprop	Objects						
1225	closet ceiling	closet ceiling	5	22	3	ceiling	ceiling	Ceiling					n02990373	ceiling.n.01
1226	hoverboard	hoverboard	5	40	7		otherprop	Objects						
1227	beanbag chair	beanbag chair	5	39	6	bean bag	otherfurniture	Furniture					n02816656	beanbag.n.01
571	water heater	water heater	5	40	7	water heater	otherprop	Objects					n04560113	water_heater.n.01
1228	spray bottle	spray bottle	5	40	7	bottle	otherprop	Objects	bottle		bottle	2876657	n02876657	bottle.n.01
